{-9/4, 3*sqrt(7)/4}
{-1267/768 - 11*sqrt(105)/256 - 7*sqrt(33)/768 + sqrt(165)/768 + 3*sqrt(5)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - 7*sqrt(3)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + 11*sqrt(15)/768 + sqrt(1155)/256 + 9*sqrt(35)/256 + 269*sqrt(7)/256}
{-1337/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - sqrt(105)/256 - sqrt(165)/768 + 5*sqrt(5)/256 + 7*sqrt(33)/768 + 35*sqrt(21)/256, -sqrt(1155)/256 - 35*sqrt(3)/768 + sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 199*sqrt(7)/256}
{-1253/768 - 13*sqrt(105)/256 - 7*sqrt(33)/768 + sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(21)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 7*sqrt(11)/768 - sqrt(55)/256 - 7*sqrt(3)/768 + 13*sqrt(15)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 283*sqrt(7)/256}
{-441/256 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - 3*sqrt(105)/256 - sqrt(5)/256 + sqrt(165)/256 + 7*sqrt(33)/768 + 21*sqrt(77)/256, -7*sqrt(11)/256 - 3*sqrt(35)/256 + sqrt(15)/256 + 7*sqrt(3)/768 + sqrt(55)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 213*sqrt(7)/256}
{-427/256 - 9*sqrt(105)/256 - 3*sqrt(385)/256 + sqrt(5)/256 + sqrt(165)/256 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 21*sqrt(77)/256, -7*sqrt(11)/256 - 7*sqrt(3)/768 + sqrt(55)/256 + 3*sqrt(15)/256 + 3*sqrt(35)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 255*sqrt(7)/256}
{-637/384 - 5*sqrt(105)/128 - 7*sqrt(21)/128 - sqrt(5)/128 + sqrt(165)/192 + 7*sqrt(77)/64, -3*sqrt(35)/128 - 7*sqrt(11)/192 + 7*sqrt(3)/384 + 5*sqrt(15)/384 + sqrt(1155)/64 + 131*sqrt(7)/128}
{-161/96 - 7*sqrt(21)/64 - sqrt(105)/32 - sqrt(5)/64 + sqrt(165)/192 + 7*sqrt(77)/64, -3*sqrt(35)/64 - 7*sqrt(11)/192 + sqrt(15)/96 + 7*sqrt(3)/192 + sqrt(1155)/64 + 31*sqrt(7)/32}
{-679/384 - 3*sqrt(385)/128 + sqrt(5)/128 + sqrt(165)/384 + sqrt(105)/128 + 7*sqrt(33)/384 + 7*sqrt(21)/128 + 7*sqrt(77)/128, -7*sqrt(11)/384 - 7*sqrt(3)/384 - sqrt(15)/384 + sqrt(55)/128 + 3*sqrt(35)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 89*sqrt(7)/128}
{-343/192 - 3*sqrt(385)/128 + sqrt(165)/384 + 7*sqrt(33)/384 + sqrt(105)/64 + 7*sqrt(77)/128, -7*sqrt(11)/384 - sqrt(15)/192 + sqrt(55)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 41*sqrt(7)/64}
{-329/192 - 7*sqrt(21)/64 - sqrt(105)/64 - sqrt(5)/64 + sqrt(165)/192 + 7*sqrt(77)/64, -3*sqrt(35)/64 - 7*sqrt(11)/192 + sqrt(15)/192 + 7*sqrt(3)/192 + sqrt(1155)/64 + 55*sqrt(7)/64}
{-665/384 - 21*sqrt(21)/128 - sqrt(105)/128 - 3*sqrt(5)/128 + sqrt(165)/192 + 7*sqrt(77)/64, -9*sqrt(35)/128 - 7*sqrt(11)/192 + sqrt(15)/384 + 7*sqrt(3)/128 + sqrt(1155)/64 + 103*sqrt(7)/128}
{-1309/768 - 3*sqrt(385)/256 - 5*sqrt(105)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(5)/256 + 7*sqrt(77)/256 + 49*sqrt(21)/256, -49*sqrt(3)/768 - 7*sqrt(11)/768 + 5*sqrt(15)/768 + sqrt(55)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 227*sqrt(7)/256}
{-1295/768 - 7*sqrt(105)/256 - 3*sqrt(385)/256 + sqrt(165)/768 + 5*sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(77)/256 + 35*sqrt(21)/256, -35*sqrt(3)/768 - 7*sqrt(11)/768 + sqrt(55)/256 + 7*sqrt(15)/768 + sqrt(1155)/256 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 241*sqrt(7)/256}
{-7/4 - 3*sqrt(385)/128 + 3*sqrt(5)/128 + 7*sqrt(33)/384 + 21*sqrt(21)/128, -7*sqrt(3)/128 + sqrt(55)/128 + 9*sqrt(35)/128 + 7*sqrt(231)/128 + 3*sqrt(7)/4}
{-427/256 - 9*sqrt(105)/256 - 3*sqrt(385)/256 + sqrt(165)/768 + 3*sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -7*sqrt(3)/256 - 7*sqrt(11)/768 + sqrt(55)/256 + 3*sqrt(15)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 255*sqrt(7)/256}
{-1309/768 - 3*sqrt(385)/256 - 5*sqrt(105)/256 + sqrt(165)/768 + 3*sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -7*sqrt(3)/256 - 7*sqrt(11)/768 + 5*sqrt(15)/768 + sqrt(55)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 227*sqrt(7)/256}
{-161/96 - sqrt(105)/32 + sqrt(5)/128 + sqrt(165)/384 + 7*sqrt(21)/128 + 7*sqrt(77)/128, -7*sqrt(11)/384 - 7*sqrt(3)/384 + sqrt(15)/96 + 3*sqrt(35)/128 + sqrt(1155)/128 + 31*sqrt(7)/32}
{-637/384 - 5*sqrt(105)/128 + sqrt(165)/384 + 7*sqrt(77)/128, -7*sqrt(11)/384 + 5*sqrt(15)/384 + sqrt(1155)/128 + 131*sqrt(7)/128}
{-1337/768 - 3*sqrt(385)/256 - sqrt(105)/256 + sqrt(165)/768 + 3*sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -7*sqrt(3)/256 - 7*sqrt(11)/768 + sqrt(15)/768 + sqrt(55)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 199*sqrt(7)/256}
{-231/128 - 3*sqrt(385)/128 + sqrt(5)/64 + 7*sqrt(33)/384 + 3*sqrt(105)/128 + 7*sqrt(21)/64, -7*sqrt(3)/192 - sqrt(15)/128 + sqrt(55)/128 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 75*sqrt(7)/128}
{-441/256 - 3*sqrt(385)/256 - 3*sqrt(105)/256 + sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 7*sqrt(77)/256, -7*sqrt(11)/768 - 7*sqrt(3)/768 + sqrt(15)/256 + sqrt(55)/256 + 3*sqrt(35)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 213*sqrt(7)/256}
{-217/128 - 3*sqrt(105)/128 + sqrt(165)/384 + 7*sqrt(77)/128, -7*sqrt(11)/384 + sqrt(15)/128 + sqrt(1155)/128 + 117*sqrt(7)/128}
{-1351/768 - 3*sqrt(385)/256 + sqrt(5)/256 + sqrt(165)/768 + sqrt(105)/256 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 7*sqrt(77)/256, -7*sqrt(11)/768 - 7*sqrt(3)/768 - sqrt(15)/768 + sqrt(55)/256 + 3*sqrt(35)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 185*sqrt(7)/256}
{-329/192 - 7*sqrt(21)/128 - sqrt(105)/64 - sqrt(5)/128 + sqrt(165)/384 + 7*sqrt(77)/128, -3*sqrt(35)/128 - 7*sqrt(11)/384 + sqrt(15)/192 + 7*sqrt(3)/384 + sqrt(1155)/128 + 55*sqrt(7)/64}
{-455/256 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(105)/256 + 7*sqrt(77)/256, -3*sqrt(35)/256 - 7*sqrt(11)/768 - sqrt(15)/256 + 7*sqrt(3)/768 + sqrt(55)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 171*sqrt(7)/256}
{-441/256 - 21*sqrt(77)/256 - 3*sqrt(385)/256 - 3*sqrt(105)/256 - sqrt(165)/256 + 7*sqrt(33)/768 + 9*sqrt(5)/256 + 63*sqrt(21)/256, -3*sqrt(1155)/256 - 21*sqrt(3)/256 + sqrt(15)/256 + sqrt(55)/256 + 7*sqrt(11)/256 + 7*sqrt(231)/256 + 27*sqrt(35)/256 + 213*sqrt(7)/256}
{-203/128 - 9*sqrt(105)/128 - 7*sqrt(33)/384 + sqrt(5)/64 + 3*sqrt(385)/128 + 7*sqrt(21)/64, -7*sqrt(231)/128 - 7*sqrt(3)/192 - sqrt(55)/128 + 3*sqrt(15)/128 + 3*sqrt(35)/64 + 159*sqrt(7)/128}
{-1267/768 - 11*sqrt(105)/256 - 7*sqrt(77)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + 5*sqrt(5)/256 + 3*sqrt(385)/256 + 35*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 35*sqrt(3)/768 - sqrt(55)/256 + 7*sqrt(11)/768 + 11*sqrt(15)/768 + 15*sqrt(35)/256 + 269*sqrt(7)/256}
{-329/192 - 7*sqrt(77)/128 - sqrt(105)/64 - sqrt(165)/384 + 3*sqrt(5)/128 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(3)/128 + sqrt(15)/192 + 7*sqrt(11)/384 + 9*sqrt(35)/128 + 55*sqrt(7)/64}
{-623/384 - 7*sqrt(105)/128 + sqrt(165)/384 + 7*sqrt(77)/128, -7*sqrt(11)/384 + 7*sqrt(15)/384 + sqrt(1155)/128 + 145*sqrt(7)/128}
{-665/384 - 7*sqrt(77)/128 - sqrt(105)/128 - sqrt(165)/384 + sqrt(5)/64 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(3)/192 + sqrt(15)/384 + 7*sqrt(11)/384 + 3*sqrt(35)/64 + 103*sqrt(7)/128}
{-637/384 - 7*sqrt(77)/128 - 5*sqrt(105)/128 - sqrt(165)/384 + sqrt(5)/64 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(3)/192 + 5*sqrt(15)/384 + 7*sqrt(11)/384 + 3*sqrt(35)/64 + 131*sqrt(7)/128}
{-161/96 - sqrt(105)/32 - 7*sqrt(21)/128 - sqrt(5)/128 + sqrt(165)/384 + 7*sqrt(77)/128, -3*sqrt(35)/128 - 7*sqrt(11)/384 + 7*sqrt(3)/384 + sqrt(15)/96 + sqrt(1155)/128 + 31*sqrt(7)/32}
{-161/96 - 7*sqrt(77)/128 - sqrt(105)/32 - sqrt(165)/384 + 3*sqrt(5)/128 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(3)/128 + sqrt(15)/96 + 7*sqrt(11)/384 + 9*sqrt(35)/128 + 31*sqrt(7)/32}
{-7/4 - 3*sqrt(385)/128 + sqrt(5)/128 + 7*sqrt(33)/384 + 7*sqrt(21)/128, -7*sqrt(3)/384 + sqrt(55)/128 + 3*sqrt(35)/128 + 7*sqrt(231)/128 + 3*sqrt(7)/4}
{-217/128 - 3*sqrt(385)/128 - 3*sqrt(105)/128 + sqrt(5)/64 + 7*sqrt(33)/384 + 7*sqrt(21)/64, -7*sqrt(3)/192 + sqrt(15)/128 + sqrt(55)/128 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 117*sqrt(7)/128}
{-665/384 - 7*sqrt(77)/128 - 3*sqrt(385)/128 - sqrt(105)/128 - sqrt(165)/384 + 3*sqrt(5)/128 + 7*sqrt(33)/384 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(3)/128 + sqrt(15)/384 + sqrt(55)/128 + 7*sqrt(11)/384 + 9*sqrt(35)/128 + 7*sqrt(231)/128 + 103*sqrt(7)/128}
{-679/384 - 7*sqrt(77)/128 - 3*sqrt(385)/128 - sqrt(165)/384 + 3*sqrt(5)/128 + sqrt(105)/128 + 7*sqrt(33)/384 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(3)/128 - sqrt(15)/384 + sqrt(55)/128 + 7*sqrt(11)/384 + 9*sqrt(35)/128 + 7*sqrt(231)/128 + 89*sqrt(7)/128}
{-665/384 - 3*sqrt(385)/128 - 7*sqrt(21)/128 - sqrt(105)/128 - sqrt(5)/128 + sqrt(165)/384 + 7*sqrt(33)/384 + 7*sqrt(77)/128, -3*sqrt(35)/128 - 7*sqrt(11)/384 + sqrt(15)/384 + 7*sqrt(3)/384 + sqrt(55)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 103*sqrt(7)/128}
{-679/384 - 3*sqrt(385)/128 - 7*sqrt(21)/128 - sqrt(5)/128 + sqrt(165)/384 + sqrt(105)/128 + 7*sqrt(33)/384 + 7*sqrt(77)/128, -3*sqrt(35)/128 - 7*sqrt(11)/384 - sqrt(15)/384 + 7*sqrt(3)/384 + sqrt(55)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 89*sqrt(7)/128}
{-343/192 - 7*sqrt(77)/128 - 3*sqrt(385)/128 - sqrt(165)/384 + sqrt(5)/64 + 7*sqrt(33)/384 + sqrt(105)/64 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(3)/192 - sqrt(15)/192 + sqrt(55)/128 + 7*sqrt(11)/384 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 41*sqrt(7)/64}
{-175/96 - 7*sqrt(77)/128 - 3*sqrt(385)/128 - sqrt(165)/384 + sqrt(5)/64 + 7*sqrt(33)/384 + sqrt(105)/32 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(3)/192 - sqrt(15)/96 + sqrt(55)/128 + 7*sqrt(11)/384 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 17*sqrt(7)/32}
{-1253/768 - 13*sqrt(105)/256 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(77)/256, -3*sqrt(35)/256 - 7*sqrt(11)/768 + 7*sqrt(3)/768 + sqrt(55)/256 + 13*sqrt(15)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 283*sqrt(7)/256}
{-1267/768 - 11*sqrt(105)/256 - 3*sqrt(385)/256 + sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 7*sqrt(77)/256, -7*sqrt(11)/768 - 7*sqrt(3)/768 + sqrt(55)/256 + 11*sqrt(15)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 269*sqrt(7)/256}
{-427/256 - 21*sqrt(21)/256 - 9*sqrt(105)/256 - 3*sqrt(385)/256 - 3*sqrt(5)/256 + sqrt(165)/256 + 7*sqrt(33)/768 + 21*sqrt(77)/256, -9*sqrt(35)/256 - 7*sqrt(11)/256 + sqrt(55)/256 + 3*sqrt(15)/256 + 7*sqrt(3)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 255*sqrt(7)/256}
{-1295/768 - 7*sqrt(105)/256 - 3*sqrt(385)/256 + sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 7*sqrt(77)/256, -7*sqrt(11)/768 - 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(15)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 241*sqrt(7)/256}
{-1295/768 - 7*sqrt(105)/256 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - sqrt(165)/768 + 3*sqrt(5)/256 + 7*sqrt(33)/768 + 21*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(3)/256 + sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(15)/768 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 241*sqrt(7)/256}
{-1309/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 5*sqrt(105)/256 - sqrt(165)/768 + 5*sqrt(5)/256 + 7*sqrt(33)/768 + 35*sqrt(21)/256, -sqrt(1155)/256 - 35*sqrt(3)/768 + 5*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 227*sqrt(7)/256}
{-1309/768 - 3*sqrt(385)/256 - 5*sqrt(105)/256 - 7*sqrt(21)/256 - sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(77)/256, -3*sqrt(35)/256 - 7*sqrt(11)/768 + 7*sqrt(3)/768 + 5*sqrt(15)/768 + sqrt(55)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 227*sqrt(7)/256}
{-441/256 - 35*sqrt(21)/256 - 3*sqrt(385)/256 - 3*sqrt(105)/256 - 5*sqrt(5)/256 + sqrt(165)/256 + 7*sqrt(33)/768 + 21*sqrt(77)/256, -15*sqrt(35)/256 - 7*sqrt(11)/256 + sqrt(15)/256 + sqrt(55)/256 + 35*sqrt(3)/768 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 213*sqrt(7)/256}
{-441/256 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 3*sqrt(105)/256 - sqrt(165)/768 + 3*sqrt(5)/256 + 7*sqrt(33)/768 + 21*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(3)/256 + sqrt(15)/256 + sqrt(55)/256 + 7*sqrt(11)/768 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 213*sqrt(7)/256}
{-1337/768 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - sqrt(105)/256 - sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(77)/256, -3*sqrt(35)/256 - 7*sqrt(11)/768 + sqrt(15)/768 + 7*sqrt(3)/768 + sqrt(55)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 199*sqrt(7)/256}
{-1351/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - sqrt(165)/768 + 3*sqrt(5)/256 + sqrt(105)/256 + 7*sqrt(33)/768 + 21*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(3)/256 - sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 185*sqrt(7)/256}
{-413/256 - 15*sqrt(105)/256 - 21*sqrt(21)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 + sqrt(165)/256 + 3*sqrt(385)/256 + 21*sqrt(77)/256, -7*sqrt(231)/256 - 9*sqrt(35)/256 - 7*sqrt(11)/256 - sqrt(55)/256 + 7*sqrt(3)/256 + 5*sqrt(15)/256 + 3*sqrt(1155)/256 + 297*sqrt(7)/256}
{-413/256 - 21*sqrt(77)/256 - 15*sqrt(105)/256 - 7*sqrt(33)/768 - sqrt(165)/256 + 7*sqrt(5)/256 + 3*sqrt(385)/256 + 49*sqrt(21)/256, -7*sqrt(231)/256 - 3*sqrt(1155)/256 - 49*sqrt(3)/768 - sqrt(55)/256 + 5*sqrt(15)/256 + 7*sqrt(11)/256 + 21*sqrt(35)/256 + 297*sqrt(7)/256}
{-1253/768 - 13*sqrt(105)/256 - 7*sqrt(77)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + 3*sqrt(5)/256 + 3*sqrt(385)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(3)/256 - sqrt(55)/256 + 7*sqrt(11)/768 + 13*sqrt(15)/768 + 9*sqrt(35)/256 + 283*sqrt(7)/256}
{-1267/768 - 11*sqrt(105)/256 - 7*sqrt(21)/256 - 7*sqrt(33)/768 - sqrt(5)/256 + sqrt(165)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 3*sqrt(35)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + 7*sqrt(3)/768 + 11*sqrt(15)/768 + sqrt(1155)/256 + 269*sqrt(7)/256}
{-1295/768 - 7*sqrt(105)/256 - 7*sqrt(33)/768 + sqrt(165)/768 + 7*sqrt(5)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 49*sqrt(21)/256, -7*sqrt(231)/256 - 49*sqrt(3)/768 - 7*sqrt(11)/768 - sqrt(55)/256 + 7*sqrt(15)/768 + sqrt(1155)/256 + 21*sqrt(35)/256 + 241*sqrt(7)/256}
{-1379/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - sqrt(165)/768 + 3*sqrt(5)/256 + 7*sqrt(33)/768 + 5*sqrt(105)/256 + 21*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(3)/256 - 5*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 157*sqrt(7)/256}
{-1351/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - sqrt(165)/768 + sqrt(105)/256 + 7*sqrt(33)/768 + 7*sqrt(5)/256 + 49*sqrt(21)/256, -sqrt(1155)/256 - 49*sqrt(3)/768 - sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 185*sqrt(7)/256}
{-1295/768 - 7*sqrt(105)/256 - 7*sqrt(33)/768 + sqrt(165)/768 + 3*sqrt(5)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - 7*sqrt(3)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + 7*sqrt(15)/768 + sqrt(1155)/256 + 9*sqrt(35)/256 + 241*sqrt(7)/256}
{-1379/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(5)/256 + 5*sqrt(105)/256 + 49*sqrt(21)/256, -sqrt(1155)/256 - 49*sqrt(3)/768 - 5*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 157*sqrt(7)/256}
{-455/256 - 3*sqrt(385)/256 + sqrt(5)/256 + sqrt(165)/256 + 7*sqrt(33)/768 + 3*sqrt(105)/256 + 7*sqrt(21)/256 + 21*sqrt(77)/256, -7*sqrt(11)/256 - 7*sqrt(3)/768 - sqrt(15)/256 + sqrt(55)/256 + 3*sqrt(35)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 171*sqrt(7)/256}
{-455/256 - 3*sqrt(385)/256 + 5*sqrt(5)/256 + sqrt(165)/256 + 7*sqrt(33)/768 + 3*sqrt(105)/256 + 35*sqrt(21)/256 + 21*sqrt(77)/256, -7*sqrt(11)/256 - 35*sqrt(3)/768 - sqrt(15)/256 + sqrt(55)/256 + 15*sqrt(35)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 171*sqrt(7)/256}
{-175/96 - 3*sqrt(385)/128 + sqrt(165)/384 + sqrt(5)/64 + 7*sqrt(33)/384 + sqrt(105)/32 + 7*sqrt(77)/128 + 7*sqrt(21)/64, -7*sqrt(3)/192 - 7*sqrt(11)/384 - sqrt(15)/96 + sqrt(55)/128 + sqrt(1155)/128 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 17*sqrt(7)/32}
{-707/384 - 3*sqrt(385)/128 + sqrt(5)/128 + sqrt(165)/384 + 7*sqrt(33)/384 + 7*sqrt(21)/128 + 5*sqrt(105)/128 + 7*sqrt(77)/128, -7*sqrt(11)/384 - 5*sqrt(15)/384 - 7*sqrt(3)/384 + sqrt(55)/128 + 3*sqrt(35)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 61*sqrt(7)/128}
{-329/192 - sqrt(105)/64 + sqrt(165)/192 + 7*sqrt(77)/64, -7*sqrt(11)/192 + sqrt(15)/192 + sqrt(1155)/64 + 55*sqrt(7)/64}
{-665/384 - 7*sqrt(21)/128 - sqrt(105)/128 - sqrt(5)/128 + sqrt(165)/192 + 7*sqrt(77)/64, -3*sqrt(35)/128 - 7*sqrt(11)/192 + sqrt(15)/384 + 7*sqrt(3)/384 + sqrt(1155)/64 + 103*sqrt(7)/128}
{-175/96 - 3*sqrt(385)/128 + sqrt(165)/384 + 7*sqrt(33)/384 + sqrt(105)/32 + 7*sqrt(77)/128, -7*sqrt(11)/384 - sqrt(15)/96 + sqrt(55)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 17*sqrt(7)/32}
{-707/384 - 3*sqrt(385)/128 - 7*sqrt(21)/128 - sqrt(5)/128 + sqrt(165)/384 + 7*sqrt(33)/384 + 5*sqrt(105)/128 + 7*sqrt(77)/128, -3*sqrt(35)/128 - 7*sqrt(11)/384 - 5*sqrt(15)/384 + 7*sqrt(3)/384 + sqrt(55)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 61*sqrt(7)/128}
{-161/96 - sqrt(105)/32 + sqrt(165)/384 + 3*sqrt(5)/128 + 7*sqrt(77)/128 + 21*sqrt(21)/128, -7*sqrt(3)/128 - 7*sqrt(11)/384 + sqrt(15)/96 + sqrt(1155)/128 + 9*sqrt(35)/128 + 31*sqrt(7)/32}
{-329/192 - sqrt(105)/64 + sqrt(165)/384 + 3*sqrt(5)/128 + 7*sqrt(77)/128 + 21*sqrt(21)/128, -7*sqrt(3)/128 - 7*sqrt(11)/384 + sqrt(15)/192 + sqrt(1155)/128 + 9*sqrt(35)/128 + 55*sqrt(7)/64}
{-427/256 - 9*sqrt(105)/256 - 7*sqrt(33)/768 + 3*sqrt(5)/256 + sqrt(165)/256 + 3*sqrt(385)/256 + 21*sqrt(21)/256 + 21*sqrt(77)/256, -7*sqrt(231)/256 - 7*sqrt(11)/256 - 7*sqrt(3)/256 - sqrt(55)/256 + 3*sqrt(15)/256 + 9*sqrt(35)/256 + 3*sqrt(1155)/256 + 255*sqrt(7)/256}
{-665/384 - sqrt(105)/128 + sqrt(165)/384 + sqrt(5)/64 + 7*sqrt(77)/128 + 7*sqrt(21)/64, -7*sqrt(3)/192 - 7*sqrt(11)/384 + sqrt(15)/384 + sqrt(1155)/128 + 3*sqrt(35)/64 + 103*sqrt(7)/128}
{-1351/768 - 3*sqrt(385)/256 + sqrt(165)/768 + sqrt(105)/256 + 5*sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(77)/256 + 35*sqrt(21)/256, -35*sqrt(3)/768 - 7*sqrt(11)/768 - sqrt(15)/768 + sqrt(55)/256 + sqrt(1155)/256 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 185*sqrt(7)/256}
{-1379/768 - 3*sqrt(385)/256 + sqrt(165)/768 + 5*sqrt(5)/256 + 7*sqrt(33)/768 + 5*sqrt(105)/256 + 7*sqrt(77)/256 + 35*sqrt(21)/256, -35*sqrt(3)/768 - 7*sqrt(11)/768 - 5*sqrt(15)/768 + sqrt(55)/256 + sqrt(1155)/256 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 157*sqrt(7)/256}
