{-9/4, 3*sqrt(7)/4}
{-211/96 - 3*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 19*sqrt(7)/32}
{-13/6 - sqrt(77)/16 - sqrt(21)/16, -sqrt(11)/48 - sqrt(3)/48 + sqrt(7)/2}
{-103/48 - sqrt(77)/16, -sqrt(11)/48 + 7*sqrt(7)/16}
{-215/96 - 3*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 23*sqrt(7)/32}
{-37/16 - sqrt(21)/8 + sqrt(33)/48, -sqrt(231)/16 - sqrt(3)/24 + 15*sqrt(7)/16}
{-71/32 - sqrt(77)/32 - sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 21*sqrt(7)/32}
{-35/16 - sqrt(77)/16, -sqrt(11)/48 + 9*sqrt(7)/16}
{-217/96 - sqrt(77)/32 - sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/96 - sqrt(3)/96 + 25*sqrt(7)/32}
{-53/24 - sqrt(77)/16 + sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/48 + 5*sqrt(7)/8}
{-73/32 - sqrt(77)/32 + sqrt(33)/96 + sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/96 + 27*sqrt(7)/32}
{-71/32 - 9*sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - 3*sqrt(3)/32 + sqrt(11)/32 + 21*sqrt(7)/32}
{-33/16 - sqrt(21)/8 - sqrt(33)/48, -sqrt(3)/24 + 3*sqrt(7)/16 + sqrt(231)/16}
{-205/96 - 5*sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -5*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 13*sqrt(7)/32}
{-53/24 - 3*sqrt(21)/16 + sqrt(77)/16, -sqrt(3)/16 + sqrt(11)/48 + 5*sqrt(7)/8}
{-17/8, 3*sqrt(7)/8}
{-2, 0}
{-37/16 + sqrt(33)/48, sqrt(7)*(15 - sqrt(33))/16}
{-35/16 + sqrt(21)/16, sqrt(3)/48 + 9*sqrt(7)/16}
{-17/8 + sqrt(21)/8, sqrt(3)/24 + 3*sqrt(7)/8}
{-33/16 + 3*sqrt(21)/16, sqrt(3)/16 + 3*sqrt(7)/16}
{-101/48 + sqrt(77)/16, sqrt(11)/48 + 5*sqrt(7)/16}
{-107/48 - sqrt(77)/16 + sqrt(21)/8, -sqrt(11)/48 + sqrt(3)/24 + 11*sqrt(7)/16}
{-103/48 - sqrt(77)/16 + sqrt(21)/8, -sqrt(11)/48 + sqrt(3)/24 + 7*sqrt(7)/16}
{-13/6 - sqrt(21)/16 + sqrt(77)/16, -sqrt(3)/48 + sqrt(11)/48 + sqrt(7)/2}
{-13/6 - sqrt(77)/16 + 3*sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/16 + sqrt(7)/2}
{-9/4 + sqrt(33)/48 + sqrt(21)/16, -sqrt(231)/16 + sqrt(3)/48 + 3*sqrt(7)/4}
{-35/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 + sqrt(3)/24 + 9*sqrt(7)/16}
{-107/48 - sqrt(77)/16 + sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/16 + 11*sqrt(7)/16}
{-109/48 - sqrt(77)/16 + sqrt(33)/48 + 3*sqrt(21)/16, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/16 + 13*sqrt(7)/16}
{-107/48 - sqrt(21)/16 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(3)/48 + sqrt(11)/48 + 11*sqrt(7)/16}
{-109/48 - sqrt(21)/16 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(3)/48 + sqrt(11)/48 + 13*sqrt(7)/16}
{-55/24 - sqrt(77)/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/24 + 7*sqrt(7)/8}
{-7/3 - sqrt(77)/16 + sqrt(33)/48 + sqrt(21)/8, -sqrt(231)/16 - sqrt(11)/48 + sqrt(3)/24 + sqrt(7)}
{-203/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/96 + 11*sqrt(7)/32}
{-205/96 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/96 + 13*sqrt(7)/32}
{-69/32 - 3*sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/32 + sqrt(11)/32 + 15*sqrt(7)/32}
{-69/32 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 15*sqrt(7)/32}
{-209/96 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/96 + 17*sqrt(7)/32}
{-209/96 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/32 + 17*sqrt(7)/32}
{-211/96 - sqrt(77)/32 + sqrt(33)/96 + 5*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + 5*sqrt(3)/96 + 19*sqrt(7)/32}
{-211/96 - sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - sqrt(3)/96 + sqrt(11)/96 + 19*sqrt(7)/32}
{-71/32 - 5*sqrt(21)/32 + sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(231)/32 - 5*sqrt(3)/96 + sqrt(11)/32 + 21*sqrt(7)/32}
{-71/32 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/96 + 21*sqrt(7)/32}
